 	Area	Mean	StdDev	Min	Max	IntDen	RawIntDen
1	229680	1305.254	360.989	586	2185	299790741	299790741
2	133621	1706.835	526.450	375	2962	228068989	228068989
3	137170	2282.620	644.579	1021	3239	313106954	313106954
4	56029	3251.881	296.789	2166	3577	182199626	182199626
