 	Area	Mean	StdDev	Min	Max	IntDen	RawIntDen
1	287059	563.352	149.204	190	889	161715133	161715133
2	103787	696.062	192.026	347	1077	72242174	72242174
3	28155	681.075	205.883	437	1368	19175668	19175668
4	57890	1203.215	190.685	793	1606	69654117	69654117
