 	Area	Mean	StdDev	Min	Max	IntDen	RawIntDen
1	159029	1066.313	253.987	580	1661	169574741	169574741
2	116621	1402.737	470.167	340	2231	163588559	163588559
3	205732	1972.345	615.099	851	3002	405774487	405774487
4	101556	2906.838	494.114	1584	3531	295206825	295206825
