 	Area	Mean	StdDev	Min	Max	IntDen	RawIntDen
1	239502	340.277	73.607	194	540	81497127	81497127
2	114067	438.046	107.047	230	631	49966596	49966596
3	77546	494.191	160.842	270	1219	38322504	38322504
4	91886	706.070	132.464	416	989	64877993	64877993
