 	Area	Mean	StdDev	Min	Max	IntDen	RawIntDen
1	99907	875.521	186.583	525	1377	87470712	87470712
2	120556	1217.714	377.397	296	1951	146802747	146802747
3	85872	1365.569	467.923	754	2578	117264128	117264128
4	147327	2345.403	503.525	1261	3220	345541175	345541175
