 	Area	Mean	Min	Max
200	4048	2473.387	1696	2867
201	4048	2468.277	1657	2883
202	4048	2467.151	1694	2870
203	4048	2467.931	1700	2879
204	4048	2471.131	1744	2868
205	4048	2473.033	1760	2850
206	4048	2470.889	1769	2864
207	4048	2466.750	1746	2849
208	4048	2462.901	1718	2852
209	4048	2457.249	1725	2885
210	4048	2454.303	1709	2852
211	4048	2455.273	1728	2864
212	4048	2457.549	1741	2856
213	4048	2460.058	1752	2848
214	4048	2458.891	1776	2859
215	4048	2456.303	1771	2847
216	4048	2452.307	1723	2850
217	4048	2445.820	1688	2860
218	4048	2441.110	1706	2841
219	4048	2439.509	1701	2833
220	4048	2442.968	1709	2858
221	4048	2445.857	1757	2834
222	4048	2447.694	1758	2827
223	4048	2445.275	1767	2831
224	4048	2442.046	1748	2823
225	4048	2435.980	1720	2832
226	4048	2430.269	1712	2825
227	4048	2427.229	1658	2838
228	4048	2426.650	1670	2837
229	4048	2430.936	1695	2831
230	4048	2432.309	1697	2826
231	4048	2432.891	1738	2828
232	4048	2430.969	1721	2830
233	4048	2424.652	1706	2814
234	4048	2417.838	1687	2823
235	4048	2414.931	1683	2861
236	4048	2414.798	1662	2806
237	4048	2418.127	1681	2837
238	4048	2421.776	1697	2824
239	4048	2423.044	1678	2845
240	4048	2419.124	1730	2810
241	4048	2415.995	1683	2811
242	4048	2407.332	1660	2829
243	4048	2402.587	1637	2804
244	4048	2400.776	1641	2838
245	4048	2402.114	1664	2799
246	4048	2406.854	1700	2815
247	4048	2408.833	1678	2796
248	4048	2408.730	1699	2795
249	4048	2405.239	1667	2789
250	4048	2397.573	1630	2784
251	4048	2391.028	1636	2806
252	4048	2387.979	1634	2803
253	4048	2389.245	1612	2792
254	4048	2392.646	1641	2803
255	4048	2394.611	1673	2798
256	4048	2395.052	1714	2795
257	4048	2390.552	1676	2803
258	4048	2386.587	1656	2781
259	4048	2378.365	1625	2812
260	4048	2373.822	1658	2791
261	4048	2374.237	1643	2790
262	4048	2377.147	1683	2773
263	4048	2380.896	1687	2783
264	4048	2382.371	1662	2774
265	4048	2381.138	1666	2772
266	4048	2376.370	1671	2773
267	4048	2369.273	1650	2779
268	4048	2362.838	1635	2770
269	4048	2360.924	1603	2767
270	4048	2362.054	1627	2759
271	4048	2365.214	1605	2774
272	4048	2368.677	1634	2765
273	4048	2367.798	1614	2766
274	4048	2363.758	1615	2770
275	4048	2359.043	1621	2761
276	4048	2352.303	1584	2762
277	4048	2347.786	1576	2746
278	4048	2347.711	1568	2787
279	4048	2352.695	1571	2755
280	4048	2356.865	1623	2740
281	4048	2358.177	1625	2764
282	4048	2355.956	1620	2758
283	4048	2351.456	1598	2750
284	4048	2343.203	1602	2744
285	4048	2337.729	1579	2753
286	4048	2337.111	1577	2750
287	4048	2340.404	1579	2758
288	4048	2346.254	1608	2756
289	4048	2349.640	1608	2739
290	4048	2347.509	1635	2745
291	4048	2344.059	1604	2736
292	4048	2338.179	1599	2745
293	4048	2331.500	1566	2756
294	4048	2328.012	1550	2748
295	4048	2328.986	1563	2762
296	4048	2333.758	1583	2734
297	4048	2337.868	1604	2722
298	4048	2338.089	1621	2753
299	4048	2335.080	1614	2734
300	4048	2329.987	1596	2743
301	4048	2323.404	1579	2744
302	4048	2319.096	1529	2723
303	4048	2316.106	1561	2734
304	4048	2318.243	1587	2726
305	4048	2323.924	1619	2719
306	4048	2326.773	1626	2746
307	4048	2324.772	1649	2720
308	4048	2321.043	1635	2733
309	4048	2314.446	1625	2709
310	4048	2306.454	1578	2720
311	4048	2302.864	1549	2729
312	4048	2304.802	1568	2728
313	4048	2309.231	1600	2737
314	4048	2313.578	1623	2719
315	4048	2314.030	1638	2703
316	4048	2311.303	1632	2733
317	4048	2304.720	1616	2719
318	4048	2297.900	1550	2704
319	4048	2292.668	1522	2718
320	4048	2292.676	1564	2702
321	4048	2296.065	1574	2705
322	4048	2300.181	1571	2714
323	4048	2302.847	1597	2706
324	4048	2301.075	1539	2702
325	4048	2295.745	1548	2699
326	4048	2288.685	1526	2706
327	4048	2281.147	1513	2694
328	4048	2279.531	1547	2712
329	4048	2280.701	1540	2697
330	4048	2285.673	1591	2694
331	4048	2289.831	1594	2712
332	4048	2289.005	1617	2683
333	4048	2286.565	1623	2695
334	4048	2279.522	1591	2689
335	4048	2269.974	1538	2683
336	4048	2265.377	1536	2679
337	4048	2267.116	1514	2698
338	4048	2270.884	1541	2689
339	4048	2276.322	1577	2684
340	4048	2279.111	1616	2693
341	4048	2274.094	1610	2672
342	4048	2268.450	1575	2677
343	4048	2260.358	1521	2692
344	4048	2252.257	1502	2687
345	4048	2250.463	1527	2686
346	4048	2254.121	1495	2683
347	4048	2260.526	1540	2686
348	4048	2264.327	1576	2663
349	4048	2264.005	1592	2674
350	4048	2259.854	1592	2662
351	4048	2250.725	1518	2661
352	4048	2241.602	1492	2661
353	4048	2237.991	1484	2657
354	4048	2238.627	1476	2668
355	4048	2244.150	1488	2673
356	4048	2250.871	1555	2656
357	4048	2252.042	1584	2677
358	4048	2248.180	1585	2669
359	4048	2241.133	1581	2642
360	4048	2232.114	1523	2680
361	4048	2225.258	1528	2659
362	4048	2225.400	1511	2656
363	4048	2229.917	1536	2679
364	4048	2234.700	1586	2656
365	4048	2238.515	1637	2649
366	4048	2236.259	1636	2640
367	4048	2231.258	1610	2638
368	4048	2220.781	1560	2685
369	4048	2213.138	1543	2632
370	4048	2210.386	1530	2676
371	4048	2213.241	1565	2649
372	4048	2220.488	1566	2647
373	4048	2225.647	1618	2652
374	4048	2226.312	1643	2633
375	4048	2222.101	1639	2621
376	4048	2214.711	1621	2638
377	4048	2205.401	1585	2627
378	4048	2200.744	1556	2649
379	4048	2203.202	1560	2672
380	4048	2207.769	1584	2639
381	4048	2213.717	1655	2646
382	4048	2214.975	1678	2617
383	4048	2212.282	1648	2617
384	4048	2207.698	1624	2620
385	4048	2198.235	1536	2622
386	4048	2189.237	1522	2653
387	4048	2189.923	1556	2626
388	4048	2194.758	1569	2623
389	4048	2200.809	1582	2603
390	4048	2206.110	1607	2598
391	4048	2200.971	1604	2626
392	4048	2184.445	1569	2628
393	4048	2179.023	1561	2626
394	4048	2181.398	1579	2603
395	4048	2187.294	1594	2594
396	4048	2193.867	1620	2603
397	4048	2194.997	1660	2618
398	4048	2193.256	1658	2603
399	4048	2185.804	1635	2621
400	4048	2177.759	1586	2589
